frames,position.x_diff2,position.y_diff2,position.z_diff2,rotation.x_diff2,rotation.y_diff2,rotation.z_diff2,rotation.w_diff2,Spine Front-Back_diff2,Spine Left-Right_diff2,Spine Twist Left-Right_diff2,Chest Front-Back_diff2,Chest Left-Right_diff2,Chest Twist Left-Right_diff2,Neck Nod Down-Up_diff2,Neck Tilt Left-Right_diff2,Neck Turn Left-Right_diff2,Head Nod Down-Up_diff2,Head Tilt Left-Right_diff2,Head Turn Left-Right_diff2,Left Upper Leg Front-Back_diff2,Left Upper Leg In-Out_diff2,Left Upper Leg Twist In-Out_diff2,Left Lower Leg Stretch_diff2,Left Lower Leg Twist In-Out_diff2,Left Foot Up-Down_diff2,Left Foot Twist In-Out_diff2,Right Upper Leg Front-Back_diff2,Right Upper Leg In-Out_diff2,Right Upper Leg Twist In-Out_diff2,Right Lower Leg Stretch_diff2,Right Lower Leg Twist In-Out_diff2,Right Foot Up-Down_diff2,Right Foot Twist In-Out_diff2,Left Shoulder Down-Up_diff2,Left Shoulder Front-Back_diff2,Left Arm Down-Up_diff2,Left Arm Front-Back_diff2,Left Arm Twist In-Out_diff2,Left Forearm Stretch_diff2,Left Forearm Twist In-Out_diff2,Left Hand Down-Up_diff2,Left Hand In-Out_diff2,Right Shoulder Down-Up_diff2,Right Shoulder Front-Back_diff2,Right Arm Down-Up_diff2,Right Arm Front-Back_diff2,Right Arm Twist In-Out_diff2,Right Forearm Stretch_diff2,Right Forearm Twist In-Out_diff2,Right Hand Down-Up_diff2,Right Hand In-Out_diff2
728,0,-0.02157441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2574185,0.3925727,0,0.07818329,0.2498988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,0,-0.01721843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2574185,-0.3925727,0,-0.2345499,-0.2498988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,0.2454009,0.01630158,0.04357486,-0.01547484,0,0,0,0,0,0,0,0,0,0.008994943,0,0,0.0105208,0,0,0.0932946,-0.2956597,0.1604864,0.1585662,0,-0.1686162,0.06356713,0,0,0,0.2018412,0,-0.3084119,0.225666,0,0,-0.05083475,0.02863248,-0.02506205,0,0.07454006,0,0,0,0,-0.01841554,0.0285379,-0.00775678,0,0,0,0.1338252
731,-0.2454009,0.009683311,-0.04357486,0.01547484,0,0,0,0,0,0,0,0,0,-0.008994943,0,0,-0.0105208,0,0,-0.0932946,0.2956597,-0.4880505,-0.4601432,0,-0.003087289,-0.06356713,0,0,0,-0.2018412,0,-0.0727511,-0.225666,0,0,0.05083475,-0.02863248,0.02506205,0,-0.07454006,0,0,0,0,0.01841554,-0.0285379,0.00775678,0,0,0,-0.1338252
732,0,-0.002371777,0.3385365,-0.2157243,0,0,0,0,0,0,0,0,0,0.2396142,0,0,0.2712925,0,0,-0.1865892,0,0.2405188,0.04423749,0,0.2030645,0,0,0,0,0,0,0.2375606,0,0,0,-0.3399636,0.2573058,-0.1930587,0,-0.1490801,0,0,0,0,-0.2731436,0.2601767,-0.2922796,0,0,0,-0.2676504
733,0,0.09208988,-0.3385365,0.2157243,0,0,0,0,0,0,0,0,0,0.02049508,0,0,0.01597178,0,0,0.1865892,0,0.08704522,0.2573395,0,0.1250056,0,0,0,0,0,0,0.1436024,0,0,0,0.3399636,-0.2573058,0.02657457,0,0.1490801,0,0,0,0,0.2731436,-0.2601767,0.08188563,0,0,0,0.2676504
734,-0.01761726,-0.08937677,0.1905285,-0.3458165,-0.04031375,0,0.01299,-0.2937134,0.04137235,0,-0.3973114,0,-0.03399663,0.04639425,-0.06262381,-0.09985015,0.004882731,-0.0476593,-0.06582577,-0.1560032,-0.469119,-0.1462931,-0.2622263,0.1075854,-0.06860939,-0.04772932,-0.2071171,-0.1190701,-0.08272931,-0.2552257,-0.1380586,-0.08337312,0.04662291,-0.01571401,0,-0.4325152,0.6043975,-0.0167786,-0.06491739,-0.1530917,0.1753895,0.1607694,0,0,-0.331087,0.4865297,0.08036501,0.1567219,-0.06965144,-0.1858551,-0.2444474
735,0.01761726,0.08937677,-0.1905285,0.3458165,0.04031375,0,-0.01299,0.2937134,-0.04137235,0,0.3973114,0,0.03399663,-0.3065036,0.06262381,0.09985015,-0.292147,0.0476593,0.06582577,0.1560032,0.469119,0.1462931,0.2622263,-0.1075854,0.06860939,0.04772932,0.2071171,0.1190701,0.08272931,0.2552257,0.1380586,0.08337312,-0.04662291,0.01571401,0,0.4325152,-0.6043975,0.1832627,0.06491739,0.1530917,-0.1753895,-0.1607694,0,0,0.331087,-0.4865297,0.1300289,-0.1567219,0.06965144,0.1858551,0.2444474
736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141693,0,0,0,0,0,0
737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141693,0,0,0,0,0,0
